Symbol
AAPL
MSFT
AMZN
NVDA
BRK.B
GOOGL
TSLA
GOOG
XOM
UNH
JPM
JNJ
META
V
PG
HD
MA
CVX
MRK
ABBV
LLY
PEP
BAC
PFE
AVGO
KO
COST
TMO
WMT
CSCO
MCD
DIS
WFC
ABT
LIN
ACN
DHR
VZ
CRM
CMCSA
TXN
PM
ADBE
BMY
NKE
RTX
NEE
NFLX
QCOM
T
ORCL
UPS
COP
HON
MS
AMD
LOW
AMGN
GS
CAT
SCHW
UNP
INTU
IBM
SBUX
DE
ELV
SPGI
CVS
LMT
PLD
BA
MDT
AXP
INTC
BLK
GILD
C
AMAT
BKNG
ADI
ADP
AMT
GE
TJX
CI
MDLZ
SYK
CB
TMUS
NOW
MO
PYPL
PGR
ISRG
REGN
MMC
ZTS
TGT
SLB
DUK
VRTX
FISV
SO
ETN
NOC
BDX
BSX
CME
EOG
ITW
LRCX
CSX
HUM
USB
PNC
EQIX
MU
AON
TFC
APD
CL
MMM
MPC
ICE
FCX
CCI
WM
EL
GM
SNPS
ATVI
KLAC
HCA
CDNS
ORLY
NSC
GD
SHW
MCK
VLO
SRE
PSX
FDX
EMR
DG
AZO
MET
GIS
D
EW
PXD
F
AEP
NXPI
PSA
MRNA
MAR
APH
MCO
ROP
ADM
AIG
PH
CTVA
TRV
MCHP
MSI
DXCM
JCI
OXY
KMB
NUE
TT
A
COF
MSCI
ADSK
DOW
CMG
EXC
O
CHTR
CNC
LHX
TEL
HLT
SPG
AFL
BIIB
ECL
IQV
IDXX
ROST
MNST
AJG
FIS
SYY
FTNT
HES
TDG
WMB
PCAR
CTAS
CARR
BK
PRU
AMP
DD
STZ
XEL
YUM
DVN
PAYX
ALL
WELL
HSY
OTIS
KMI
NEM
CMI
WBD
HAL
ANET
ROK
ON
CTSH
ED
AME
MTD
STT
VICI
KHC
URI
APTV
GPN
ODFL
RMD
ILMN
BKR
DFS
PEG
PPG
KDP
DLTR
OKE
DLR
GWW
CPRT
ALB
FAST
EA
CSGP
DHI
WEC
KR
KEYS
SBAC
MTB
GEHC
CBRE
CDW
ULTA
VRSK
ENPH
ES
RSG
HPQ
EIX
IT
CEG
GLW
ZBH
AWK
WTW
WBA
ABC
ACGL
TSCO
PCG
GPC
FANG
HIG
ANSS
FITB
TROW
EBAY
LYB
EFX
AVB
VMC
LEN
IFF
FTV
DAL
IR
WY
PWR
WST
ARE
MLM
ALGN
FRC
HBAN
LH
AEE
RF
ETR
DTE
FE
EQR
MPWR
EXR
DOV
RJF
CFG
PFG
CAH
PPL
CTRA
CHD
HPE
BAX
HOLX
LUV
TDY
STLD
VTR
NDAQ
CINF
NTRS
MKC
WAB
WAT
OMC
CLX
MAA
STE
VRSN
LVS
INVH
XYL
SWKS
TSN
BALL
CNP
MOS
DRI
EPAM
EXPD
CMS
K
CAG
TTWO
TRGP
CF
AMCR
IEX
BBY
KEY
AES
MOH
BR
UAL
SIVB
SEDG
DGX
MRO
FMC
SYF
FSLR
COO
ATO
SJM
NVR
FDS
TER
PKI
ETSY
J
EXPE
TXT
FLT
HWM
RCL
JBHT
RE
GRMN
ZBRA
IRM
LKQ
AVY
ESS
NTAP
LW
INCY
PAYC
POOL
IPG
MGM
VTRS
EVRG
CBOE
TYL
LDOS
WRB
UDR
PTC
IP
SNA
PEAK
BRO
LNT
HRL
MKTX
PKG
TRMB
STX
APA
EQT
KIM
SWK
CHRW
PHM
CPT
WDC
CTLT
JKHY
HST
L
NDSN
BWA
MAS
BF.B
CE
GEN
MTCH
AKAM
PARA
NI
HSIC
TECH
CDAY
WYNN
GL
FOXA
KMX
CRL
TFX
CPB
TPR
DPZ
CZR
QRVO
EMN
CCL
BIO
TAP
ALLE
AAL
JNPR
UHS
LYV
BBWI
REG
BXP
CMA
PNR
HII
RHI
AAP
FFIV
AOS
PNW
ROL
WRK
BEN
IVZ
NRG
FRT
VFC
ZION
WHR
XRAY
GNRC
SEE
HAS
SBNY
AIZ
NWSA
NCLH
OGN
DXC
ALK
NWL
MHK
RL
LNC
FOX
DVA
DISH
LUMN
NWS
